,Bigfoot State,Bigfoot Details,Bigfoot Date,Bigfoot Latitude,longitude,UFO Details,UFO State,UFO Country,UFO Date,UFO Shape,UFO Sighting Duration,UFO Comments,UFO Latitude
77,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,10/2/2012 19:50,chevron,2 minutes,Two chevron-shaped objects flying in formation spotted over Maple Valley&#44 WA.,47.4066667
78,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,11/15/2011 21:00,oval,?,Me and my brother were siting outside on the porch and we saw light in the sky.We looked up and they were blinking and moving we though,47.4066667
79,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,1/20/2004 09:05,other,10 minutes,A ROUND GOLF BALL SHAPED THING WITH MULTIPLE TWINKLING COLORS,47.4066667
80,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,12/3/2000 23:20,formation,5 minutes,3 LIGHTS SEEN IN FORMATION ABOVE MAPLE VALLEY&#44 WA. (USA) ON 12/3/00 @ 11:20PM.,47.4066667
81,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,1/29/2010 00:00,changing,all night and still conti,strange lights make half diamond shape in sky and one approaches the house.,47.4066667
82,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,2/5/2009 06:30,triangle,3 min,Triangle shaped ufo in maple valey almost crashes,47.4066667
83,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,3/22/1996 21:30,oval,45 seconds,Object with flashing colored lights on its underside hovers over home in Maple Valley for almost 1 minute.,47.4066667
84,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,5/21/2011 20:07,triangle,30-70 seconds,Two separate triangles of light (one light per corner),47.4066667
85,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/2/2013 00:10,sphere,5 seconds,A silent pulsing orange circular glowing object.,47.4066667
86,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/27/2009 17:00,cylinder,15 minutes,Elongated object spotted over Maple Valley,47.4066667
87,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/4/2004 18:00,oval,3 minutes,after the incident was gone we  talked about it and really wondered what it really was,47.4066667
88,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,7/1/1974 06:00,light,2hrs,I saw a light shining through the clouds that looked like the inside of a reflector telescope&#44 with a dark rounded off square with a da,47.4066667
89,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,7/4/2012 22:20,fireball,2 minutes,Saw three distinct lights&#44 one appeared to be on fire&#44 moving south over Maple Valley&#44 WA.,47.4066667
90,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,8/12/2012 23:20,sphere,20 seconds,Sphere like object glowing of  a bright white/yellow light flys above me to just vanish&#33 like time warped outta here&#33,47.4066667
91,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,8/19/2011 00:44,other,5 seconds,Larger slower shooting star like object that I can confirm  a situation  to research&#33,47.4066667
92,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,8/2/2002 22:30,light,2 min,Light  flashed oddly and changed direction twice.,47.4066667
93,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,9/15/1972 18:00,disk,8 seconds,It flew over the house just above the tree tops. It was going very fast&#44 It made no sound then it just vanished.,47.4066667
94,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,9/20/2003 20:55,light,5 to 7 min,lights acting strangely,47.4066667
95,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,9/24/1995 24:00,,45 sec.,Woman witnesses a &quot;ball&#44 a bright light&#44  floating across sky.&quot;  It &quot;zigzagged&#44 faded&#44 shot straight up.&quot;,47.4066667
96,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,9/8/2003 22:20,light,one second,Driving maybe 2 miles south of Maple Valley&#44 heading south on Hwy 169 towards Enumclaw&#44 I caught a brilliant green light moving fast fr,47.4066667
97,wv,Report 24494: Possible nighttime encounter while raccoon hunting outside Valley Head,8/2/08,38.55,-79.98,dirt road on a mountain; far from civilization; doesn't see much traffic,on,ca,5/6/2014 21:32,triangle,4 minutes,Whilst driving to Caledonia&#44 I saw around 3 / 4 deep orange/red single glowing orbs. Eventually they kind of angled upwards slowly away,43.225
98,wv,Report 24494: Possible nighttime encounter while raccoon hunting outside Valley Head,8/2/08,38.55,-79.98,dirt road on a mountain; far from civilization; doesn't see much traffic,on,ca,8/11/2002 01:30,chevron,8 minutes,I was walking through a park near my home called spring valley. I was out late in the evening walking my dog (lab/border c)and tryed to,43.225
99,wv,Report 24061: Family gathering interrupted by 8-foot tall visitor at the kitchen window,8/10/79,37.445,-80.17,about 8 miles from town limits.,,,5/9/2004 01:30,oval,30 min. approx,Bright light on the sky,8.38
100,wv,Report 31404: Deer hunter has daylight sighting on a logging road near Cabin Creek,11/28/09,38.2639,-81.4625,If you go past charleston towards beckley get off the chelyan ceadar grove exit 85 or86 turn rt @ the first light then rt @ the second light then about 1/2 mile turn left under the railroad tracks past paul white chevrolet. Then about 8 miles up slaughters creek turn left,oh,us,7/21/2012 21:30,fireball,15 seconds,Fireball in East Ohio,39.9341667
101,az,Report 13773: Possible vocalization along the Verde River; near Dead Horse Ranch State Park,1/15/06,34.7,-112.05,down from my house down a hill lies trees along side a large river that stretches along the towns.,ab,ca,9/15/1996 16:00,cylinder,approx: 30 minutes,HBCCUFO CANADIAN REPORT:  Golden cylinder was pacing our vehicle.,53.5
102,al,Report 17168: Nighttime sighting by motorists outside Grand Bay,2/4/07,30.47612,-88.34223,traveling north from the Grand Bay exit of I-10 towards Dawes Road; just over the small bridge,al,,4/25/2014 20:00,formation,few minutes,One orange light whould show then one beside it and then a third and they would disappear.,30.476308
103,al,Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,7/15/00,33.48665,-85.8175,Salt creek falls close to Cheaha State Park,in,us,4/6/2008 01:00,chevron,8 sec,V formation viewd from Bristol IN,41.7213889
104,al,Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,7/15/00,33.48665,-85.8175,Salt creek falls close to Cheaha State Park,in,us,8/15/1977 20:30,sphere,30 seconds,Large Orange Glowing Orb Witnessed in August of 1977 or 1978.,41.721388899999994
105,al,Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,7/15/00,33.48665,-85.8175,Salt creek falls close to Cheaha State Park,in,us,8/21/2003 23:15,diamond,2-5 minutes,Diamond Lights dance in the Heavens,41.721388899999994
106,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,10/13/2012 23:00,light,10-15 minutes,Very bright red&#44 green&#44 white lights traveling south in an erratic manner directly over Hicks Creek,36.3352778
107,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,10/23/2000 18:25,light,3-4 minutes,Saw intense bright light suspended motionless in mid-air that dimmed to darkness and moved slowly off to the east and out of sight.,36.3352778
108,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,10/5/2012 18:45,other,3-5 minutes,Three brilliant bright lights in a spaced line formation attached to an incredibly large aircraft in a diagonal position.,36.3352778
109,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,2/15/2011 23:26,other,30 minutes,Atmospheric Event distorting the light of the stars?,36.3352778
110,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,3/3/2009 24:00,,,just a bright red fireball stopped at treetop level then slowley moved on west,36.3352778
111,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,3/9/2000 22:09,fireball,2 minutes,Bright&#44 white&#44 golf ball sized orb hit a glass like dome above the planet - creating 45 sec. of white night light in our forest - follo,36.3352778
112,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,5/1/2014 22:15,unknown,ongoing at this time,The moon was covered by a very strange shaped shadow&#44 eclipsing the moon for at least 40 minutes,36.3352778
113,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,6/15/2012 22:08,unknown,5-6 min,Red brilliant light and white light,36.3352778
114,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,7/12/2008 22:00,circle,7 minutes,I was amazed that these objects did not move and it was too high&#44 and silent&#44 to be helicopters,36.3352778
115,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,7/29/2013 21:14,fireball,30-40 seconds,Orange Red Fireball traveling west then north.,36.3352778
116,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,7/3/2007 21:50,light,1 hour,Large Bright Light.  ((NUFORC Note:  Jupiter is quite prominent in the southern sky&#44 currently.  PD)),36.3352778
117,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,7/6/2013 23:00,circle,60 seconds,Three bright glowing orange objects passed from South to North over Arkansas disappearing over Missouri on the night of July 6.,36.3352778
118,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,9/13/2003 17:06,cigar,17:17pm,u.f.o. seen over mountain home ar.,36.3352778
119,ar,Report 1637: Backyard sighting near Mountain Home.,5/15/95,36.33528,-92.385,Go down highway 5 north to Connie dr just at the outskirts of town.,ar,us,9/7/2009 19:52,light,1 minute,Brilliant white object moving to Northeast at high altitude,36.3352778
120,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,wa,us,10/1/1998 02:00,disk,3 min.,burnt out disk  gets ride from trucker to air force base,47.0566667
121,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,10/27/2003 18:10,other,1 1/2minute,Horseshoe flat disklike craft with oval shaped white strobing head lamps with pale yellow lights each outer edge.,38.3397222
122,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,10/6/2000 16:45,cone,5 mins,Two Steel Colored&#44 Almost Rod Shaped Craft that play cat and mouse. Sonoma County/Marin County Sighting. Day Time Sightings both times.,38.3397222
123,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,1/11/1999 18:00,sphere,5 seconds,While driving&#44 I noticed a round torquoise colored sphere falling from the sky to the North East of Rohnert Park.  The object dissapear,38.3397222
124,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,11/20/2003 17:45,fireball,1 second,flare-type unidentified light over Rohnert Park&#44 CA,38.3397222
125,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,11/6/2011 18:35,fireball,5 minutes,One small orange orb or ball of fire that changed direction and drifted across the horizon,38.3397222
126,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,12/10/2010 14:00,sphere,a minute or so,black&#44 shiny spheres over california,38.3397222
127,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,12/26/2003 20:00,light,1 hour,A light dancing and shooting in the sky &#44 lots of diferent  fast movements&#44 changing in diameter.,38.3397222
128,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,1/28/2000 19:15,light,apx 15 sec,Brite white light with a downward tail,38.3397222
129,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,1/28/2009 17:35,disk,2 min.,Reddish brown disc&#44 where the moon would rise but wrong time; according to the almanac.,38.3397222
130,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,1/30/2013 20:45,sphere,7 minutes,Sighted just below where the Orion Nebula would be.,38.3397222
131,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,2/1/2009 19:30,sphere,5 minutes,Reddish spheres spotted in Northern Califonia.,38.3397222
132,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,2/27/2013 20:00,triangle,90-120 seconds,Triangle&#44 3 red/orange lights&#44 interrupted by aircraft.,38.3397222
133,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,3/6/1997 01:00,sphere,three(3) hours +,I 1st noticed 3 small objects/stars/points &quot;excited state&quot;&#44 were Iscoceles  their locations from each other.  One then vanished&#44 two re,38.3397222
134,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,4/2/2007 09:00,unknown,30 seconds,((HOAX??)) I was coming home when i saw a blue light in the sky i tried to follow it but it was really fast so I went home.,38.3397222
135,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,6/29/2009 23:10,triangle,2 minutes,Triangle object dropping fireballs,38.3397222
136,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,7/1/2002 21:30,changing,,CHANGING FIGURE  AND LOTS OF COLORS,38.3397222
137,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,7/23/2010 00:30,fireball,60 seconds,Flickering gold light&#44 inaudible&#44 slowly moving  along a low cloud ceiling,38.339722200000004
138,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,7/3/2010 22:25,fireball,about 15 seconds,Bright yellow fireball made right angle turn and disappeared.,38.339722200000004
139,ca,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,8/29/10,41.1139,-122.7,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,ca,us,8/7/2007 18:44,formation,10 minutes,Cluster of four bright lights in clear blue sky.  ((NUFORC Note:  Possibly an advertising light??  PD)),38.339722200000004
140,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,wa,us,10/1/1998 02:00,disk,3 min.,burnt out disk  gets ride from trucker to air force base,47.0566667
141,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,10/27/2003 18:10,other,1 1/2minute,Horseshoe flat disklike craft with oval shaped white strobing head lamps with pale yellow lights each outer edge.,38.3397222
142,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,10/6/2000 16:45,cone,5 mins,Two Steel Colored&#44 Almost Rod Shaped Craft that play cat and mouse. Sonoma County/Marin County Sighting. Day Time Sightings both times.,38.3397222
143,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,1/11/1999 18:00,sphere,5 seconds,While driving&#44 I noticed a round torquoise colored sphere falling from the sky to the North East of Rohnert Park.  The object dissapear,38.3397222
144,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,11/20/2003 17:45,fireball,1 second,flare-type unidentified light over Rohnert Park&#44 CA,38.3397222
145,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,11/6/2011 18:35,fireball,5 minutes,One small orange orb or ball of fire that changed direction and drifted across the horizon,38.3397222
146,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,12/10/2010 14:00,sphere,a minute or so,black&#44 shiny spheres over california,38.3397222
