,Bigfoot State,Bigfoot Details,Bigfoot Date,Bigfoot Latitude,longitude,UFO Details,UFO State,UFO Country,UFO Date,UFO Shape,UFO Sighting Duration,UFO Comments,UFO Latitude
147,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,12/26/2003 20:00,light,1 hour,A light dancing and shooting in the sky &#44 lots of diferent  fast movements&#44 changing in diameter.,38.3397222
148,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,1/28/2000 19:15,light,apx 15 sec,Brite white light with a downward tail,38.3397222
149,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,1/28/2009 17:35,disk,2 min.,Reddish brown disc&#44 where the moon would rise but wrong time; according to the almanac.,38.3397222
150,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,1/30/2013 20:45,sphere,7 minutes,Sighted just below where the Orion Nebula would be.,38.3397222
151,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,2/1/2009 19:30,sphere,5 minutes,Reddish spheres spotted in Northern Califonia.,38.3397222
152,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,2/27/2013 20:00,triangle,90-120 seconds,Triangle&#44 3 red/orange lights&#44 interrupted by aircraft.,38.3397222
153,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,3/6/1997 01:00,sphere,three(3) hours +,I 1st noticed 3 small objects/stars/points &quot;excited state&quot;&#44 were Iscoceles  their locations from each other.  One then vanished&#44 two re,38.3397222
154,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,4/2/2007 09:00,unknown,30 seconds,((HOAX??)) I was coming home when i saw a blue light in the sky i tried to follow it but it was really fast so I went home.,38.3397222
155,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,6/29/2009 23:10,triangle,2 minutes,Triangle object dropping fireballs,38.3397222
156,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,7/1/2002 21:30,changing,,CHANGING FIGURE  AND LOTS OF COLORS,38.3397222
157,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,7/23/2010 00:30,fireball,60 seconds,Flickering gold light&#44 inaudible&#44 slowly moving  along a low cloud ceiling,38.339722200000004
158,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,7/3/2010 22:25,fireball,about 15 seconds,Bright yellow fireball made right angle turn and disappeared.,38.339722200000004
159,ca,Report 9648: Hunters have strange experiences and make an unusual discovery.,8/13/02,38.75,-122.7,Dry Creek Road comes off of Highway 29 out of Middletown; Dry Creek Road goes into the back country through much privately owned land; to our ranch.  Our property is adjacent to and North of Pine Mountain.,ca,us,8/7/2007 18:44,formation,10 minutes,Cluster of four bright lights in clear blue sky.  ((NUFORC Note:  Possibly an advertising light??  PD)),38.339722200000004
160,az,Report 20235: Possible vocalizations heard near Snow Bowl on San Francisco Peaks,8/15/06,35.3,-111.675,This happened just below the Arizona Snowbowl in Hart Prairie on the San Francisco Peaks.  I had hiked up slope from FR 151 which is a fairly well maintained and popular forest road.  Hwy 180 goes from Flagstaff to Valle on the way to the Grand Canyon and FR 151 intersects with the hwy about 5 miles past the paved Snowbowl Road. Specifically; I had started hiking right next to the Nature Conservancy's preserve straight up slope towards the lower end of Snowbowl.  I heard the howls at the edge of an Aspen Grove about .25 mile up slope from FR 151.,az,us,5/5/2013 00:00,circle,10 minutes,Red flashing light the size of a star zig zagging in the sky for 15 minutes before disappearing.,33.7225000
161,ca,Report 10279: Family hears unusual calls,1/16/04,39.25,-123.15,,bc,ca,3/8/2012 20:00,fireball,15 seconds,Amber Fireball in night sky.  Motionless&#44 1/3 size of avg moon.  Faded away and disapeared within 3 second period.,49.7
162,ca,Report 10279: Family hears unusual calls,1/16/04,39.25,-123.15,,bc,ca,6/16/2001 23:46,changing,2 or 3 minutes,One white hot explosion&#44 two light objects connect then vanish in Canada.,49.7
163,ca,Report 10279: Family hears unusual calls,1/16/04,39.25,-123.15,,bc,ca,7/19/2002 23:40,cone,outside for a smoke,A very bright cone shape object flying in all different directions&#44 on the left bottom of the moon.,49.7
164,ca,Report 10279: Family hears unusual calls,1/16/04,39.25,-123.15,,bc,ca,8/9/2004 11:00,chevron,30 sec,Imagine a a 30&#39 wide strand of silk in the shape of a perfect cheveron moving at a constant speed of 25mph from North to South.,49.7
165,ca,Report 10279: Family hears unusual calls,1/16/04,39.25,-123.15,,bc,ca,9/7/1999 22:36,formation,1 minute,At approximately 22:36 hrs on the 7th of Sept. 1999&#44 I witnessed three (3) what looked like satellites in a triangular formation headed,49.7
166,ca,Report 20306: Young man claims possible sighting at night near Lake Mary; outside Mammoth,9/25/07,37.5999,-119.0,Lake Mary Rd. that goes to Lake Mary,bc,ca,12/26/2003 23:00,diamond,approx: 1 hour,HBCCUFO CANADIAN REPORT:  Objects seen shooting out other objects,50.833333
167,ca,Report 20306: Young man claims possible sighting at night near Lake Mary; outside Mammoth,9/25/07,37.5999,-119.0,Lake Mary Rd. that goes to Lake Mary,bc,ca,12/26/2003 23:30,light,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP Investigate and observe object.,50.833333
168,ca,Report 20306: Young man claims possible sighting at night near Lake Mary; outside Mammoth,9/25/07,37.5999,-119.0,Lake Mary Rd. that goes to Lake Mary,bc,ca,12/26/2003 23:30,light,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP report - Sicamous&#44 British Columbia Sighting.,50.833333
169,ca,Report 20306: Young man claims possible sighting at night near Lake Mary; outside Mammoth,9/25/07,37.5999,-119.0,Lake Mary Rd. that goes to Lake Mary,bc,ca,7/2/2004 23:30,light,15 min,We witnessed a red light that changed to a white light and then disappeared.,50.833333
170,ca,Report 23768: Brief; blurry video footage of a possible sasquatch at Mono Lake,7/9/08,37.9333,-119.0,Maybe 20 yards from the waters edge on a section of beach at Mono Lake. Unclear on the exact location; however; that should be easy to ascertain from the terrain captured on the video tape.,bc,ca,12/26/2003 23:00,diamond,approx: 1 hour,HBCCUFO CANADIAN REPORT:  Objects seen shooting out other objects,50.833333
171,ca,Report 23768: Brief; blurry video footage of a possible sasquatch at Mono Lake,7/9/08,37.9333,-119.0,Maybe 20 yards from the waters edge on a section of beach at Mono Lake. Unclear on the exact location; however; that should be easy to ascertain from the terrain captured on the video tape.,bc,ca,12/26/2003 23:30,light,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP Investigate and observe object.,50.833333
172,ca,Report 23768: Brief; blurry video footage of a possible sasquatch at Mono Lake,7/9/08,37.9333,-119.0,Maybe 20 yards from the waters edge on a section of beach at Mono Lake. Unclear on the exact location; however; that should be easy to ascertain from the terrain captured on the video tape.,bc,ca,12/26/2003 23:30,light,1 1/2 hours - more.,HBCCUFO CANADIAN REPORT:  RCMP report - Sicamous&#44 British Columbia Sighting.,50.833333
173,ca,Report 23768: Brief; blurry video footage of a possible sasquatch at Mono Lake,7/9/08,37.9333,-119.0,Maybe 20 yards from the waters edge on a section of beach at Mono Lake. Unclear on the exact location; however; that should be easy to ascertain from the terrain captured on the video tape.,bc,ca,7/2/2004 23:30,light,15 min,We witnessed a red light that changed to a white light and then disappeared.,50.833333
174,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,11/9/2004 01:30,triangle,10 seconds,looked to the north and saw three white lights in triangular form&#44 moving in unison accross the sky.,39.2616667
175,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,4/1/2012 20:00,circle,,I called my aunt &amp; uncle in Nevada City&#44  CA&#44 at 8:40 pm on 04-01.   ((NUFORC Note:  Possibly Venus?  PD)),39.2616667
176,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,4/7/2006 00:05,light,midnight to dawn,Night sky lit up like daytime.,39.2616667
177,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,7/1/1986 19:00,disk,15 minutes,4 saucers follow cars then hover above Yuba River in Nevada City. Flashing circle of lights that hum under craft.,39.2616667
178,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,7/19/2010 22:22,unknown,3 min,My girlfriend and I witnessed a  well lit craft that was completely silent&#44 but appeared to be flying at speeds upward of 5 hundred MPH,39.2616667
179,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,8/13/2000 23:30,changing,20 minutes,A red glow changing to blue green circular pattern coming from an object almost stationary &#44 then shifting shapes rapidly,39.2616667
180,ca,Report 4885: Chicken pens being raided by unknown thief near Nevada City,8/1/02,39.26167,-121.015,along deer creek,ca,us,8/14/2000 01:30,sphere,20 minutes,A red glow changing to blue green circular craft . This is the second idental spotted craft tonight 45 minutes apart.,39.2616667
181,ca,Report 28432: Motorists have sighting along Highway 88 north of Clements,10/25/10,38.25,-121.0,It's pretty simple to get to. If you know the California area around here that is. Drive into Sacramento and drive down freeway 99. Find Peltier road and drive about 8-10 miles down until you find a bridge that is connected to Mackville road. Drive on it until you find highway 88. It takes you right to it. If you are coming from the south drive through stockton on freeway 99 until you find the off ramp for highway 88.,wa,,12/26/2007 18:30,flash,5 minutes,Bright white&#44 flashing light off highway 97 in Washington State&#44 flashing&#44 then instantly changing positions&#44 then zooming up and away&#44,47
182,ca,Report 28432: Motorists have sighting along Highway 88 north of Clements,10/25/10,38.25,-121.0,It's pretty simple to get to. If you know the California area around here that is. Drive into Sacramento and drive down freeway 99. Find Peltier road and drive about 8-10 miles down until you find a bridge that is connected to Mackville road. Drive on it until you find highway 88. It takes you right to it. If you are coming from the south drive through stockton on freeway 99 until you find the off ramp for highway 88.,wa,,6/23/1996 11:00,,,Man calls to report that son had witnessed a blue-green orb hit side of mountain.  No sound.  Follow up visit reveals no damage.,47
183,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,10/1/2004 16:00,unknown,10-12 minutes,Orange light cruises Humboldt Bay,40.8022222
184,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,10/17/2000 20:30,light,10 minutes,Two bright solid orange lights &#44 slow moving&#44 bright flickering light before vanishing.,40.8022222
185,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,10/23/2010 10:30,light,5 minutes,A big circular object with a bunch of little blinking lights was hovering in the sky,40.8022222
186,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,11/15/1997 22:00,triangle,3 mins,large slow moving triange-shaped aircraft flies over Eureka California... 1997,40.8022222
187,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,1/12/1999 08:32,triangle,12,they were red triangular shaped objects with a blue haze around them they left an orange trail across the sky and then stopped it shot,40.8022222
188,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,1/12/2004 07:49,fireball,2 minutes,Can firballs move like that?,40.8022222
189,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,1/13/2012 09:43,changing,5 minutes,Uunusual orange bright light over eureka&#44 california,40.8022222
190,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,11/3/2012 19:50,rectangle,4 minutes,November 3&#44 2012 Time: approx. 7:50pm Eureka&#44 CA UFO spotted travelling from East to West over Eureka.  Large orange flickering object,40.8022222
191,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,1/20/2007 10:00,triangle,2-3 minutes,Single silent V-shaped ufo seen in southern sky over Eureka&#44 Ca. at about  8pm on Jan. 20&#44 2007.,40.8022222
192,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,12/17/2003 19:45,fireball,7 minutes,Very large dancing fireball&#44 35-40 degrees above NE horizon&#44 with additional small fiery lights emerging and descending toward horizon,40.8022222
193,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,12/18/2003 18:50,light,5-6 min.,Bright&#44 strobing light&#44 dimmed to a pulsing amber light. Then smaller lights witnessed moving erratically around larger light.,40.8022222
194,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,1/22/2014 21:35,light,1-1.5 minutes,White light being followed by red blinking light&#44 moving slowly across sky.,40.8022222
195,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,12/23/2002 23:30,light,5 min,Two bright orange lights rotating over Eureka,40.8022222
196,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,12/6/2011 18:02,oval,3- 5 minutes,Yellowish orange oval south of Eureka&#44CA on December 5 at 6:30 am December 6 at 6 pm,40.8022222
197,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,12/9/1998 07:15,teardrop,15 min.,Looking out window of house and saw a massive object descending in a straight path to earth near the horizon in the far distance.,40.8022222
198,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,2/9/1996 19:45,,4 min.,Woman and neighbor witness bizarre formation of up to ten objs. overhead w/ white flashing lights.  Objs. maneuvered; 1/3 of sky.,40.8022222
199,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,3/15/2013 11:45,cigar,30 seconds,Humboldt County Coastline&#44 two events&#44 similar craft.,40.8022222
200,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,3/18/2010 21:04,light,5-10 minutes,Large&#44 bright light moving over Samoa Beach&#44 then disappearing...,40.8022222
201,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,3/6/2010 20:00,fireball,one minute,Orange light in the sky&#44 two smaller orange lights emitted from bottom like teardrops.,40.8022222
202,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,4/18/2006 10:38,sphere,2 to 3 minutes,Small black spherical object observed in the eastern horizon at about 30 degrees,40.8022222
203,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,4/5/2003 18:12,disk,approx 30 min,I was sitting in my bedroom listening to my shortwave radio when the neighbors started yelling for me to get outside.I forget the exact,40.8022222
204,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,4/5/2014 08:50,light,12 seconds,Me and my roommate saw a fast moving object.  It covered a large distance in a matter of seconds.  It disappeared.,40.8022222
205,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,5/15/1980 16:00,cigar,2 minutes?,Rode the schoolbus with friend Joel to his house after school. When we stepped off the bus&#44 we saw a shining craft in the sky&#44 an elong,40.8022222
206,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,6/22/2013 22:55,light,6 minutes,Multiple red flickering lights moving in unison.,40.8022222
207,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,6/29/2012 23:15,sphere,5 minutes,Driving at night near the Northern California Coast - six orange orbs in the sky,40.8022222
208,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,6/30/2012 09:00,fireball,60 seconds,Gigantic Red Ball of light at a very high altitude that vanished.,40.8022222
209,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,6/9/1970 15:00,oval,1 minute,silver globe spotted over humboldt bay,40.8022222
210,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,7/16/2001 22:00,unknown,2 sec,brilliant green shooting star,40.8022222
211,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,8/12/1996 22:00,light,10 minutes,3 minute picture,40.8022222
212,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,8/6/1999 22:30,circle,,UFO came over house where my girlfriend and sister were. It was bright orange. It stayed&#44 then left&#44 and they saw it explode far up in,40.8022222
213,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,9/15/2004 17:45,triangle,10minutes,The movement of the craft did not seem forced. Drifiting opposed to flying>>>>,40.8022222
214,ca,Report 528: Three children have daytime sighting near Eureka,6/1/57,40.80222,-124.1625,The end of Ole Hanson rd.  Through the Hanson Property,ca,us,9/17/2004 23:30,triangle,10 minutes,I witnessed an elongated&#44 triangular aircraft moving at a very slow speed approximately trenty feet above the Redwood trees.,40.8022222
215,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,1/22/2011 19:25,fireball,15 minutes,A bright orange light over the Chemainus River&#44 Vancouver Island lasting 15 minutes.,48.916667
216,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,1/9/2002 22:45,light,3 minutes,Object in high orbit that looked like a satelite&#44 yet was able to make tight turns and abrupt stops before vanishing,48.783333
217,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,2/10/2003 18:00,circle,5 minutes,HBCCUFO CANADIAN REPORT:  A circular object ringed what looked like fire.,48.783333
218,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,4/25/2010 16:15,unknown,few seconds,Full daylight/sun&#44 reflective silvery object w/dark appendage rising in air over lake,48.783333
219,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,7/25/2003 22:30,unknown,20 seconds,HBCCUFO CANADIAN REPORT:  zig zagging object.,48.783333
220,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,8/19/1969 23:00,cylinder,15 to 20 minutes,A group of people sighted an &quot;object&quot; that hovered for some 15 minutes&#44 it pulsated red to mauve.,48.783333
221,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,8/8/2013 22:48,light,2-3 minutes,Redish Light following closely behind the ISS as it passed over British Columbia Canada,48.916667
222,ca,Report 11519: Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain,3/1/94,40.85,-123.7,I will look for a map if you would like,bc,ca,8/9/2011 21:00,unknown,10 min,WEIRD 3 LIGHTS LOW IN SKY LIKE UNDER TREE LINE...LIGHTS SIZE OF HEADLIGHTS...3 THEN 2 THEN 3 THEN 1 TRIANGULAR IN SHAPE...LIVED HERE 15,48.783333
223,il,Report 46878: Hiker has a daylight sighting in Buffalo Rock State Park,10/10/14,41.3224,-88.92,On the embankment of the frog effigy in Buffalo Rock State Park at the edge of the river.,il,us,6/1/1962 21:30,disk,15 min.,Saucer shaped object in daytime nearly landed next to me.  When my mother ran out to me&#44 it flew away.,37.9966667
224,il,Report 46878: Hiker has a daylight sighting in Buffalo Rock State Park,10/10/14,41.3224,-88.92,On the embankment of the frog effigy in Buffalo Rock State Park at the edge of the river.,il,us,7/5/2003 16:00,sphere,2 min,07/05/03 REND LAKE IL&#44 4PM TWO ROUND SHINY LIGHTS MOVING SOUTH TO NORTH,37.9966667
225,il,Report 46878: Hiker has a daylight sighting in Buffalo Rock State Park,10/10/14,41.3224,-88.92,On the embankment of the frog effigy in Buffalo Rock State Park at the edge of the river.,il,us,8/10/2003 19:30,cigar,2 min.,Cigar shaped with two round objects in center.,37.9966667
226,il,Report 46878: Hiker has a daylight sighting in Buffalo Rock State Park,10/10/14,41.3224,-88.92,On the embankment of the frog effigy in Buffalo Rock State Park at the edge of the river.,il,us,9/8/2012 21:00,circle,2 minutes,6 orange circle in shape bright lights.  They were in a diagonal line.  Evenly spaced apart.  Coming up from the ground to the sky.  Th,37.9966667
227,in,Report 9642: Motorist has daylight sighting of two animals east of Waubee Lake.,1/21/05,39.3579,-85.61,300 feet east of the intersection of county roads 1100 north and 300 east. This is east of Waubee Lake in Milford; IN.,mi,us,8/15/2009 22:06,light,00:00:95,Bright orange light in Eastern Sky 90+ second event,42.9411111
